method,seed,mu,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop,final_auroc,final_auprc,final_balanced_accuracy,final_sensitivity,final_specificity,final_worst_client_recall,final_worst_client_auprc,dense_cost,sparse_cost,beta
logreg_fedavg,11,,76,True,61,0.36591561138629913,0.4011850323941972,0.8473519219292535,0.7493098974227905,6213760,0.8961542486062992,0.599854829662236,0.8108956197382401,0.8052757793764987,0.8165154600999814,0.4,0.26897597057921546,6213760.0,6213760.0,
logreg_cvar_0.5,11,,80,False,79,0.35709239542484283,0.41806597179836696,0.8389738467004564,0.7550815343856812,6540800,0.8908642462071816,0.6028475903823163,0.8026644857045302,0.7942446043165468,0.8110843670925137,0.5,0.26194342773066176,6540800.0,6540800.0,
logreg_cvar_0.75,11,,76,True,61,0.37380483498175937,0.40415530982944703,0.8461763660113016,0.7422835826873779,6213760,0.8966389413927106,0.6004530603674401,0.810969635696738,0.8086330935251799,0.813306177868296,0.4,0.27048329021667844,6213760.0,6213760.0,
logreg_cvar_0.9,11,,76,True,61,0.371228604680962,0.40254032280710006,0.8465918170081245,0.7392722964286804,6213760,0.8966593805126237,0.6008406150249697,0.811425453231194,0.8091127098321343,0.8137381966302537,0.4,0.2703051462195366,6213760.0,6213760.0,
logreg_cvar_0.95,11,,76,True,61,0.371228604680962,0.40254032280710006,0.8465918170081245,0.7392722964286804,6213760,0.8966593805126237,0.6008406150249697,0.811425453231194,0.8091127098321343,0.8137381966302537,0.4,0.2703051462195366,6213760.0,6213760.0,
logreg_fedprox_mu_0p0,11,0.0,76,True,61,0.36475782675875557,0.40552922669384217,0.846746563911438,0.7493098974227905,6213760,0.8961736073093017,0.5984289743428699,0.8113443775621976,0.8062350119904077,0.8164537431339876,0.4,0.2786488500732687,6213760.0,6213760.0,
logreg_fedprox_mu_0p001,11,0.001,76,True,61,0.36440277596314746,0.4054117484225167,0.8468908071517944,0.7500627636909485,6213760,0.8961855658964775,0.598417371670761,0.811762276903158,0.8071942446043165,0.8163303092019997,0.4,0.27868284980127084,6213760.0,6213760.0,
logreg_fedprox_mu_0p01,11,0.01,76,True,61,0.3606308193670379,0.4050275940034125,0.8466865950160556,0.7490589618682861,6213760,0.8964479444032258,0.5975008618441187,0.8121184592781245,0.8081534772182254,0.8160834413380238,0.4,0.2865761977800282,6213760.0,6213760.0,
logreg_fedprox_mu_0p1,11,0.1,77,True,62,0.33996493617693585,0.3569853338930342,0.8517474797036912,0.7834379076957703,6295520,0.8969509302759606,0.6077796727533302,0.8102098954052829,0.7889688249400479,0.8314509658705178,0.4,0.2310849572113489,6295520.0,6295520.0,
logreg_fedavg,19,,80,False,68,0.36054787288109463,0.37481483072042465,0.8502141767077975,0.7706398963928223,6540800,0.8934070592072906,0.5903072306366096,0.806082717606696,0.7947242206235012,0.8174412145898907,0.4,0.26537589887052254,6540800.0,6540800.0,
