method,beta,seed,mu,k_clients,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop,final_auroc,final_auprc,final_balanced_accuracy,final_sensitivity,final_specificity,final_worst_client_recall,final_worst_client_auprc
fedavg,5.0,7,0.0,9,40,True,25,0.34292418095800614,0.4323209226131439,0.8587833775414361,0.8229700326919556,484662400,0.8990622129217569,0.6442766200781289,0.799319559349743,0.717505995203837,0.881133123495649,0.678391959798995,0.4942322284602478
fedprox_0p1,5.0,7,0.1,9,29,True,14,0.286478277709749,0.3060629235373603,0.8455431726243761,0.8288222551345825,351380240,0.9133341355058889,0.6624658444187389,0.829204379506948,0.8067146282973621,0.851694130716534,0.7738693467336684,0.52502054846593
fedavg,5.0,11,0.0,9,31,True,16,0.3491744167274899,0.44333210587501526,0.8489581346511841,0.8264331221580505,375613360,0.9035247935700691,0.65114486185836,0.8162724994971622,0.7712230215827338,0.8613219774115904,0.7317073170731707,0.5345677763503409
fedprox_0p1,5.0,11,0.1,9,71,True,56,0.30293282204204136,0.33714627888467574,0.8374228013886346,0.8240445852279663,860275760,0.9134997352978568,0.6727870099605232,0.8305284526313406,0.8215827338129497,0.8394741714497316,0.7853658536585366,0.5442724214449852
fedavg,5.0,13,0.0,9,33,True,18,0.3400821586449941,0.3743756016095479,0.851499338944753,0.8326530456542969,399846480,0.9033606738012665,0.6472843387645912,0.813954694418877,0.7630695443645084,0.8648398444732457,0.711764705882353,0.4703338537804503
fedprox_0p1,5.0,13,0.1,9,56,True,41,0.28559273812505936,0.31319593720965916,0.8484618465105692,0.839687168598175,678527360,0.9089084814355514,0.6610078426334812,0.8203923955817756,0.7827338129496403,0.858050978213911,0.7368421052631579,0.47539868223557086
fedavg,6.0,7,0.0,9,42,True,27,0.33847230672836304,0.4073786305056678,0.8622868259747823,0.8341615200042725,508895520,0.8993228450011699,0.6441801742313439,0.8027430305339138,0.7218225419664268,0.883663519101401,0.6751592356687898,0.4772468510358913
fedprox_0p1,6.0,7,0.1,9,26,True,11,0.3107178873485989,0.3137976825237274,0.8388854331440396,0.8220660090446472,315030560,0.9143153020631078,0.666444784458732,0.8330711472295964,0.8249400479616307,0.8412022464975621,0.7963446475195822,0.519719453907119
fedavg,6.0,11,0.0,9,36,True,21,0.358508610063129,0.4586990310086144,0.8406340744760301,0.8179059028625488,436196160,0.9023127729995228,0.6469858560933337,0.8164663085306612,0.7832134292565948,0.8497191878047275,0.7403846153846154,0.5204844108727037
fedprox_0p1,6.0,11,0.1,9,75,True,60,0.29710959725909764,0.3440946539243062,0.8278000553448995,0.8148710131645203,908742000,0.9145061066495813,0.6766349566083871,0.8367271448532713,0.8470023980815348,0.8264518916250078,0.824468085106383,0.5459212056376804
fedavg,6.0,13,0.0,9,49,True,34,0.3192757699224684,0.4923566116227044,0.8377335733837552,0.8181818127632141,593711440,0.8951311677930384,0.6400568874019925,0.8111384915396695,0.7741007194244605,0.8481762636548787,0.7142857142857143,0.46814211696193514
fedprox_0p1,6.0,13,0.1,9,24,True,9,0.3104001515441471,0.37854218151834274,0.8070799112319946,0.7987139821052551,290797440,0.9140086116627898,0.6693278743197526,0.8306336822783951,0.8647482014388489,0.7965191631179411,0.8144329896907216,0.5025447939750414
fedavg,7.0,7,0.0,9,42,True,27,0.36180740263726974,0.40354683995246887,0.8706661529011197,0.8353658318519592,508895520,0.8924958533450964,0.6311247452306529,0.7940536813282202,0.6916067146282974,0.8965006480281429,0.6459459459459459,0.5045295294203028
fedprox_0p1,7.0,7,0.1,9,25,True,10,0.317058093018002,0.3271689216295878,0.8295732736587524,0.8224811553955078,302914000,0.9146203052370175,0.6689357986312541,0.8301783087508886,0.830695443645084,0.8296611738566932,0.7945945945945946,0.5376030638282072
fedavg,7.0,11,0.0,9,32,True,17,0.3669258521662818,0.43679096632533604,0.8526642653677199,0.8221083283424377,387729920,0.9005227885826869,0.6442551381442523,0.8084409273173944,0.7477218225419664,0.8691600320928223,0.7142857142857143,0.5393073687862772
fedprox_0p1,7.0,11,0.1,9,59,True,44,0.3189799553818173,0.3255990743637085,0.8296104669570923,0.8096632361412048,714877040,0.9145523129728027,0.6737847914297102,0.833651997121059,0.8378896882494005,0.8294143059927174,0.8142857142857143,0.5483224587714023
fedavg,7.0,13,0.0,9,34,True,19,0.35006747312015957,0.3602106538083818,0.8748506704966227,0.8611521124839783,411963040,0.9004063403600394,0.648569643037854,0.801081334525048,0.7026378896882494,0.8995247793618466,0.6384180790960452,0.4624323586330174
fedprox_0p1,7.0,13,0.1,9,47,True,32,0.2856891320811378,0.3159341779020097,0.838331401348114,0.833936870098114,569478320,0.9137517388422164,0.6648724334528724,0.8357116565588485,0.8321342925659473,0.8392890205517497,0.7908163265306123,0.4905225778716686
fedavg,8.0,7,0.0,9,43,True,28,0.3441348208321465,0.47359681460592484,0.8416264586978488,0.8284652233123779,521012080,0.9016944193210512,0.639997314237281,0.8179977329005154,0.7860911270983213,0.8499043387027094,0.756578947368421,0.514051817355451
fedprox_0p1,8.0,7,0.1,9,42,True,27,0.30331284801165265,0.3632996645238664,0.8043607142236497,0.7918215394020081,508895520,0.91558109187525,0.6695012368187828,0.8304723301529116,0.8652278177458034,0.7957168425600197,0.8277777777777777,0.5438098823060354
fedavg,8.0,11,0.0,9,39,True,24,0.34712468915515476,0.4906405243608687,0.8437289926740859,0.8229018449783325,472545840,0.904121879315655,0.652513766376397,0.8198897797148321,0.7875299760191846,0.8522495834104795,0.75,0.5426011325632876
fedprox_0p1,8.0,11,0.1,9,57,True,42,0.31249205271402997,0.37111178371641373,0.8080508642726474,0.7941622734069824,690643920,0.9161808416625338,0.676098696267719,0.8352941124234476,0.8709832134292566,0.7996050114176387,0.839622641509434,0.5531775676789885
