method,seed,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop,final_auroc,final_auprc,final_balanced_accuracy,final_sensitivity,final_specificity,final_worst_client_recall,final_worst_client_auprc,failure_type,description
cvar_0.95,7,47,True,22,0.3086705936325921,0.5567826926708221,0.7910421722465091,0.30279985070228577,569478320,0.8417146453176285,0.5346059733840548,0.7573487368224288,0.765947242206235,0.7487502314386225,0.5,0.10245136044511044,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0.95,19,39,True,14,0.28457754850387573,0.39546049965752494,0.867579804526435,0.8173149228096008,472545840,0.8908231755643439,0.6323207845945517,0.8037274383418649,0.7534772182254197,0.8539776584583102,0.3,0.1507673490169116,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0.95,23,36,True,25,0.3380471285846498,0.44792882601420086,0.8430418570836385,0.754580020904541,436196160,0.8892699800537278,0.6289182296734163,0.8056674379067381,0.7956834532374101,0.8156514225760662,0.4,0.2183541383533635,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0.95,29,48,True,23,0.30088913275135887,0.3896453281243642,0.881863554318746,0.8127979636192322,581594880,0.8836757736932099,0.6323116328865928,0.7978532707993946,0.7227817745803358,0.8729247670184533,0.2,0.1838135390480992,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0.95,31,52,True,27,0.29931539048751193,0.3663914203643799,0.8914643790986803,0.8205771446228027,630061120,0.8914084359248393,0.6319889424700922,0.7903692228590762,0.6882494004796164,0.8924890452385361,0.2,0.20262467065098644,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0.95,41,37,True,12,0.3174854541818301,0.3728668822182549,0.8886801136864556,0.8080301284790039,448312720,0.8974110250773644,0.6487372740257822,0.8096841467762653,0.7429256594724221,0.8764426340801086,0.2,0.19902561513868933,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0.95,43,47,True,22,0.3192415576842096,0.5207279821236929,0.8042750060558319,0.36432769894599915,569478320,0.8611829588356719,0.5805631261740938,0.7674400379714743,0.7889688249400479,0.7459112510029007,0.3,0.14515185890589427,low_worst_client_accuracy,Worst-client accuracy remains below 0.70.
cvar_0.95,43,47,True,22,0.3192415576842096,0.5207279821236929,0.8042750060558319,0.36432769894599915,569478320,0.8611829588356719,0.5805631261740938,0.7674400379714743,0.7889688249400479,0.7459112510029007,0.3,0.14515185890589427,low_average_accuracy,Average accuracy remains below 0.90.
cvar_0.95,47,50,True,25,0.2685629228750865,0.40270065930154586,0.8723925948143005,0.812045156955719,605828000,0.8868456725084661,0.6314460796160782,0.798991393813296,0.7314148681055156,0.8665679195210764,0.1,0.11859047249950036,low_average_accuracy,Average accuracy remains below 0.90.
grid_best_validated,11,46,True,21,0.2530327902899848,0.4233454598320855,0.8839484254519144,0.830865740776062,334417056,0.8688536376971371,0.6139649942423853,0.7919401638474446,0.7031175059952038,0.8807628216996852,0.1,0.03785714285714286,low_average_accuracy,Average accuracy remains below 0.90.
grid_best_validated,19,49,True,24,0.268810639778773,0.42124729686313206,0.899639798535241,0.8378921151161194,356226864,0.8501710536773324,0.5697270009207325,0.7695529338425204,0.6244604316546762,0.9146454360303647,0.2,0.11999414927701779,low_average_accuracy,Average accuracy remains below 0.90.
grid_best_validated,23,35,True,10,0.2708776361412472,0.3796331336100896,0.8822530772950914,0.8007528185844421,254447760,0.8851878837607566,0.6338328388414474,0.8144308918723195,0.7558752997601919,0.8729864839844473,0.4,0.15846918346918346,low_average_accuracy,Average accuracy remains below 0.90.
grid_best_validated,31,36,True,11,0.2948022393716706,0.3908452524079217,0.8991644846068488,0.847441554069519,261717696,0.88104190966797,0.6183210616932412,0.7858588670629874,0.6676258992805756,0.904091834845399,0.0,0.14885663356251594,low_average_accuracy,Average accuracy remains below 0.90.
grid_best_validated,37,41,True,16,0.2596660041146808,0.39173782037364113,0.89352418979009,0.8230865597724915,298067376,0.8834739577343864,0.6227809870766834,0.7886976254952343,0.6844124700239809,0.8929827809664876,0.2,0.22403296703296705,low_average_accuracy,Average accuracy remains below 0.90.
ga_best_validated,7,52,True,27,0.27923662381039727,0.5260557432969412,0.8080104324552748,0.5074317455291748,378036672,0.8730301890685193,0.6297769713373655,0.7794314668613194,0.8023980815347722,0.7564648521878664,0.4,0.12282274672973732,low_worst_client_accuracy,Worst-client accuracy remains below 0.70.
ga_best_validated,7,52,True,27,0.27923662381039727,0.5260557432969412,0.8080104324552748,0.5074317455291748,378036672,0.8730301890685193,0.6297769713373655,0.7794314668613194,0.8023980815347722,0.7564648521878664,0.4,0.12282274672973732,low_average_accuracy,Average accuracy remains below 0.90.
ga_best_validated,23,38,True,13,0.31380858686235213,0.3903828495078617,0.8857955204115974,0.8155583143234253,276257568,0.9003864488486973,0.6490179625779593,0.812473709238497,0.7462829736211031,0.8786644448558909,0.2,0.2115966197545145,low_average_accuracy,Average accuracy remains below 0.90.
ga_best_validated,29,66,True,41,0.3202272057533264,0.4436519079738193,0.8495964805285136,0.7829360365867615,479815776,0.8833037994710693,0.620445392496475,0.799138981723342,0.7717026378896883,0.8265753255569956,0.4,0.18213599872361155,low_average_accuracy,Average accuracy remains below 0.90.
ga_best_validated,31,50,True,25,0.29638855159282684,0.3663873142666287,0.890080021487342,0.8356336355209351,363496800,0.8978309816505248,0.6402437793416988,0.8070587780839946,0.7242206235011991,0.8898969326667902,0.2,0.25100709475709476,low_average_accuracy,Average accuracy remains below 0.90.
ga_best_validated,37,33,True,8,0.278836910923322,0.5897371669610342,0.7555826107660929,0.3373660445213318,239907888,0.8739047643573717,0.603341661691982,0.772688510920573,0.8642685851318945,0.6811084367092514,0.6,0.24537914505736286,low_worst_client_accuracy,Worst-client accuracy remains below 0.70.
ga_best_validated,37,33,True,8,0.278836910923322,0.5897371669610342,0.7555826107660929,0.3373660445213318,239907888,0.8739047643573717,0.603341661691982,0.772688510920573,0.8642685851318945,0.6811084367092514,0.6,0.24537914505736286,low_average_accuracy,Average accuracy remains below 0.90.
ga_best_validated,41,39,True,14,0.29563506527079475,0.42066501246558297,0.8621152109569974,0.7487037777900696,283527504,0.8840460754891736,0.6362302903165774,0.7973256129404938,0.7544364508393285,0.840214775041659,0.2,0.1865142083160252,low_average_accuracy,Average accuracy remains below 0.90.
ga_best_validated,47,40,True,15,0.29474301636219025,0.3789840837319692,0.8925144275029501,0.8213300108909607,290797440,0.8862020844350256,0.6296251196654419,0.7976586625533864,0.7045563549160672,0.8907609701907054,0.1,0.11056173041298897,low_average_accuracy,Average accuracy remains below 0.90.
local_only,7,50,False,,,0.0,0.9036112718400329,0.8522727272727273,0,0.8690466337553534,0.4590929495749547,0.714351322284763,0.4895224138985491,0.9391802306709766,0.0,0.11097936618033696,low_mortality_recall,Mortality sensitivity is below 0.50.
