lr,local_epochs,clients_per_round,seed,total_comm_bytes,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop,final_auroc,final_auprc,final_balanced_accuracy,final_sensitivity,final_specificity,final_worst_client_recall,final_worst_client_auprc
0.005,5,9,7,458005968,21,True,6,0.37317758467462325,0.39520421624183655,0.9070677293671502,0.8524952530860901,458005968,0.852291349664205,0.5649909791558538,0.7549512768973861,0.5808153477218225,0.9290872060729495,0.2,0.13230158730158728
0.005,5,9,11,479815776,22,True,7,0.3553122563494576,0.3917500434650315,0.909479194217258,0.8543903827667236,479815776,0.8535174600552847,0.5643227287915084,0.7455600415057697,0.5563549160671463,0.934765166944393,0.2,0.23643905114493352
0.005,5,9,13,414386352,19,True,4,0.3043864294886589,0.46809658573733437,0.903019454744127,0.8471257090568542,414386352,0.8397386219889114,0.5487389525639881,0.7561087586142898,0.592326139088729,0.9198913781398507,0.2,0.14994457176810116
0.005,5,9,7,501625584,23,True,8,0.3481393340561125,0.45890765057669747,0.9003555642233955,0.8404015302658081,501625584,0.8388772041059985,0.546250234279523,0.7502414287788433,0.5779376498800959,0.9225452076775905,0.1,0.1062091503267974
0.005,5,9,11,916011936,42,True,27,0.36373017728328705,0.3880060836672783,0.914070361190372,0.8607277274131775,916011936,0.8231368913386232,0.5365522456038927,0.7250866146556926,0.5007194244604316,0.9494538048509535,0.0,0.09588888888888888
0.005,5,9,13,501625584,23,True,8,0.3247337755229738,0.4271298299233119,0.8774776591195,0.656066358089447,501625584,0.8203351038850458,0.52413317880111,0.7225571514645348,0.5635491606714629,0.8815651422576066,0.1,0.10804134857873174
0.01,2,3,7,152668656,21,True,6,0.30028765979740357,0.37588197820716435,0.8981512056456672,0.8346298336982727,152668656,0.8862059472954871,0.6265937873648354,0.7834678452387137,0.6623501199040768,0.9045855705733507,0.1,0.13032201385246062
0.01,2,3,11,218098080,30,True,15,0.27865617722272873,0.34220776624149746,0.879316959116194,0.8160602450370789,218098080,0.8974260325122609,0.6372628904205735,0.8041756189567879,0.7314148681055156,0.8769363698080602,0.4,0.17465758139276355
0.01,2,3,13,189018336,26,True,11,0.2946000248193741,0.39179832736651105,0.888494869073232,0.8212255239486694,189018336,0.8832418457013689,0.6295305706974539,0.7993619176127345,0.7146282973621103,0.8840955378633586,0.0,0.21546003016591253
0.01,2,5,7,387729920,32,True,17,0.3394605103466246,0.3418181637922923,0.9050936897595724,0.8518635630607605,387729920,0.8550598809972574,0.6058168062048137,0.7702001627729478,0.6182254196642686,0.9221749058816269,0.1,0.13
0.01,2,5,11,496778960,41,True,26,0.31744271847936845,0.3645523620976342,0.9052582846747504,0.8540745377540588,496778960,0.8671138852665322,0.6049581144740228,0.7702407006074459,0.6196642685851319,0.92081713262976,0.0,0.07915499533146592
0.01,2,5,13,436196160,36,True,21,0.3225696235895157,0.3692820900016361,0.9018567270702786,0.8265997767448425,436196160,0.8225563522520256,0.5542780077355743,0.7498693065543862,0.5822541966426859,0.9174844164660865,0.0,0.06568627450980392
0.01,2,7,7,491932336,29,True,14,0.3034893125295639,0.41317112412717605,0.8870022164450752,0.8228356242179871,491932336,0.884335124013361,0.6196262538224204,0.7961800750105341,0.7064748201438849,0.8858853298771833,0.2,0.2038404165493949
0.01,2,7,11,390153232,23,True,8,0.30609595361683106,0.3541480600833893,0.9011552201377021,0.8371392488479614,390153232,0.8692761843108369,0.6195174557674411,0.7815370810183921,0.6551558752997602,0.907918286737024,0.2,0.14820261437908494
0.01,2,7,13,474969152,28,True,13,0.34209327234162223,0.5035539070765177,0.8487036161952548,0.7694435119628906,474969152,0.8772271795598144,0.5871579107311169,0.7904917687771649,0.7553956834532374,0.8255878541010924,0.2,0.13177920290923384
0.01,2,9,7,676104048,31,True,16,0.3066670646270116,0.3237895601325565,0.913207901848687,0.8540745377540588,676104048,0.8414518080036988,0.5823619778968265,0.7467300442186522,0.5544364508393286,0.9390236375979757,0.0,0.11176470588235295
0.01,2,9,11,872392320,40,True,25,0.3069188611374961,0.3957133988539378,0.9006996154785156,0.8338770270347595,872392320,0.8180479648867464,0.5555718073277097,0.7534972873395414,0.5894484412470024,0.9175461334320805,0.0,0.05905483405483406
